Cepa	Ant	Vol	Rad
HF8B	Ampicilina (Amp)	10	21.0
HF8B	Ampicilina (Amp)	10	20
HF8B	Ampicilina (Amp)	10	20
HF8B	Ampicilina (Amp)	5	18
HF8B	Ampicilina (Amp)	5	18
HF8B	Ampicilina (Amp)	5	16.0
HF8B	Ampicilina (Amp)	2.5	18.0
HF8B	Ampicilina (Amp)	2.5	15
HF8B	Ampicilina (Amp)	2.5	16
HF8B	Ampicilina (Amp)	1.25	13
HF8B	Ampicilina (Amp)	1.25	14
HF8B	Ampicilina (Amp)	1.25	12
HF8B	Apramicina (Apra)	10	9
HF8B	Apramicina (Apra)	10	10
HF8B	Apramicina (Apra)	10	8
HF8B	Apramicina (Apra)	5	6
HF8B	Apramicina (Apra)	5	7
HF8B	Apramicina (Apra)	5	7
HF8B	Apramicina (Apra)	2.5	3
HF8B	Apramicina (Apra)	2.5	4
HF8B	Apramicina (Apra)	2.5	5
HF8B	Apramicina (Apra)	1.25	1
HF8B	Apramicina (Apra)	1.25	1
HF8B	Apramicina (Apra)	1.25	1
HF8B	Neomicina (Nm)	10	14
HF8B	Neomicina (Nm)	10	15
HF8B	Neomicina (Nm)	10	15
HF8B	Neomicina (Nm)	5	13
HF8B	Neomicina (Nm)	5	13
HF8B	Neomicina (Nm)	5	13
HF8B	Neomicina (Nm)	2.5	11
HF8B	Neomicina (Nm)	2.5	13
HF8B	Neomicina (Nm)	2.5	11
HF8B	Neomicina (Nm)	1.25	10
HF8B	Neomicina (Nm)	1.25	11
HF8B	Neomicina (Nm)	1.25	10
HF8B	Gentamicina (Gm)	10	18
HF8B	Gentamicina (Gm)	10	19
HF8B	Gentamicina (Gm)	10	20
HF8B	Gentamicina (Gm)	5	18
HF8B	Gentamicina (Gm)	5	18
HF8B	Gentamicina (Gm)	5	18
HF8B	Gentamicina (Gm)	2.5	17
HF8B	Gentamicina (Gm)	2.5	14
HF8B	Gentamicina (Gm)	2.5	13
HF8B	Gentamicina (Gm)	1.25	17
HF8B	Gentamicina (Gm)	1.25	15
HF8B	Gentamicina (Gm)	1.25	13
HF8B	Carbenicilina (Car)	10	15
HF8B	Carbenicilina (Car)	10	14
HF8B	Carbenicilina (Car)	10	13
HF8B	Carbenicilina (Car)	5	12
HF8B	Carbenicilina (Car)	5	11
HF8B	Carbenicilina (Car)	5	12
HF8B	Carbenicilina (Car)	2.5	10
HF8B	Carbenicilina (Car)	2.5	7
HF8B	Carbenicilina (Car)	2.5	9
HF8B	Carbenicilina (Car)	1.25	8
HF8B	Carbenicilina (Car)	1.25	4
HF8B	Carbenicilina (Car)	1.25	7
HF8B	Cloramfenicol (Cm)	10	24
HF8B	Cloramfenicol (Cm)	10	22
HF8B	Cloramfenicol (Cm)	10	24
HF8B	Cloramfenicol (Cm)	5	22
HF8B	Cloramfenicol (Cm)	5	21
HF8B	Cloramfenicol (Cm)	5	20
HF8B	Cloramfenicol (Cm)	2.5	12
HF8B	Cloramfenicol (Cm)	2.5	12.5
HF8B	Cloramfenicol (Cm)	2.5	13
HF8B	Cloramfenicol (Cm)	1.25	9.5
HF8B	Cloramfenicol (Cm)	1.25	9.5
HF8B	Cloramfenicol (Cm)	1.25	5
K115	Ampicilina (Amp)	10	NA
K115	Ampicilina (Amp)	10	NA
K115	Ampicilina (Amp)	10	NA
K115	Ampicilina (Amp)	5	NA
K115	Ampicilina (Amp)	5	NA
K115	Ampicilina (Amp)	5	NA
K115	Ampicilina (Amp)	2.5	NA
K115	Ampicilina (Amp)	2.5	NA
K115	Ampicilina (Amp)	2.5	NA
K115	Ampicilina (Amp)	1.25	NA
K115	Ampicilina (Amp)	1.25	NA
K115	Ampicilina (Amp)	1.25	NA
K115	Apramicina (Apra)	10	17
K115	Apramicina (Apra)	10	18
K115	Apramicina (Apra)	10	18
K115	Apramicina (Apra)	5	15
K115	Apramicina (Apra)	5	15
K115	Apramicina (Apra)	5	15
K115	Apramicina (Apra)	2.5	12.5
K115	Apramicina (Apra)	2.5	11.5
K115	Apramicina (Apra)	2.5	9.5
K115	Apramicina (Apra)	1.25	8
K115	Apramicina (Apra)	1.25	8
K115	Apramicina (Apra)	1.25	7
K115	Neomicina (Nm)	10	13
K115	Neomicina (Nm)	10	13.5
K115	Neomicina (Nm)	10	11.5
K115	Neomicina (Nm)	5	11.5
K115	Neomicina (Nm)	5	11.5
K115	Neomicina (Nm)	5	11.5
K115	Neomicina (Nm)	2.5	9
K115	Neomicina (Nm)	2.5	10.5
K115	Neomicina (Nm)	2.5	10
K115	Neomicina (Nm)	1.25	6.5
K115	Neomicina (Nm)	1.25	9.5
K115	Neomicina (Nm)	1.25	8.5
K115	Gentamicina (Gm)	10	15
K115	Gentamicina (Gm)	10	15
K115	Gentamicina (Gm)	10	16
K115	Gentamicina (Gm)	5	13
K115	Gentamicina (Gm)	5	12
K115	Gentamicina (Gm)	5	12.5
K115	Gentamicina (Gm)	2.5	10.5
K115	Gentamicina (Gm)	2.5	11
K115	Gentamicina (Gm)	2.5	11.5
K115	Gentamicina (Gm)	1.25	9.5
K115	Gentamicina (Gm)	1.25	10
K115	Gentamicina (Gm)	1.25	10.5
K115	Carbenicilina (Car)	10	15.5
K115	Carbenicilina (Car)	10	16
K115	Carbenicilina (Car)	10	17
K115	Carbenicilina (Car)	5	14.5
K115	Carbenicilina (Car)	5	13
K115	Carbenicilina (Car)	5	14
K115	Carbenicilina (Car)	2.5	12
K115	Carbenicilina (Car)	2.5	9.5
K115	Carbenicilina (Car)	2.5	11
K115	Carbenicilina (Car)	1.25	8.5
K115	Carbenicilina (Car)	1.25	7
K115	Carbenicilina (Car)	1.25	7.5
K115	Cloramfenicol (Cm)	10	20
K115	Cloramfenicol (Cm)	10	22
K115	Cloramfenicol (Cm)	10	19.5
K115	Cloramfenicol (Cm)	5	19
K115	Cloramfenicol (Cm)	5	18.5
K115	Cloramfenicol (Cm)	5	18
K115	Cloramfenicol (Cm)	2.5	16
K115	Cloramfenicol (Cm)	2.5	14.5
K115	Cloramfenicol (Cm)	2.5	16
K115	Cloramfenicol (Cm)	1.25	10
K115	Cloramfenicol (Cm)	1.25	11.5
K115	Cloramfenicol (Cm)	1.25	8
RA1B	Ampicilina (Amp)	10	18
RA1B	Ampicilina (Amp)	10	16.5
RA1B	Ampicilina (Amp)	10	15
RA1B	Ampicilina (Amp)	5	16.5
RA1B	Ampicilina (Amp)	5	14.5
RA1B	Ampicilina (Amp)	5	14
RA1B	Ampicilina (Amp)	2.5	14
RA1B	Ampicilina (Amp)	2.5	13
RA1B	Ampicilina (Amp)	2.5	11
RA1B	Ampicilina (Amp)	1.25	11
RA1B	Ampicilina (Amp)	1.25	11
RA1B	Ampicilina (Amp)	1.25	9
RA1B	Apramicina (Apra)	10	8
RA1B	Apramicina (Apra)	10	7.5
RA1B	Apramicina (Apra)	10	7.5
RA1B	Apramicina (Apra)	5	5
RA1B	Apramicina (Apra)	5	5
RA1B	Apramicina (Apra)	5	5
RA1B	Apramicina (Apra)	2.5	4
RA1B	Apramicina (Apra)	2.5	3.5
RA1B	Apramicina (Apra)	2.5	4
RA1B	Apramicina (Apra)	1.25	33
RA1B	Apramicina (Apra)	1.25	1.5
RA1B	Apramicina (Apra)	1.25	2
RA1B	Neomicina (Nm)	10	11
RA1B	Neomicina (Nm)	10	10
RA1B	Neomicina (Nm)	10	11
RA1B	Neomicina (Nm)	5	10
RA1B	Neomicina (Nm)	5	8
RA1B	Neomicina (Nm)	5	10
RA1B	Neomicina (Nm)	2.5	9
RA1B	Neomicina (Nm)	2.5	8
RA1B	Neomicina (Nm)	2.5	8
RA1B	Neomicina (Nm)	1.25	6
RA1B	Neomicina (Nm)	1.25	5
RA1B	Neomicina (Nm)	1.25	6
RA1B	Gentamicina (Gm)	10	15
RA1B	Gentamicina (Gm)	10	15
RA1B	Gentamicina (Gm)	10	15
RA1B	Gentamicina (Gm)	5	15
RA1B	Gentamicina (Gm)	5	13
RA1B	Gentamicina (Gm)	5	14
RA1B	Gentamicina (Gm)	2.5	13
RA1B	Gentamicina (Gm)	2.5	9
RA1B	Gentamicina (Gm)	2.5	11
RA1B	Gentamicina (Gm)	1.25	9
RA1B	Gentamicina (Gm)	1.25	8
RA1B	Gentamicina (Gm)	1.25	9
RA1B	Carbenicilina (Car)	10	7
RA1B	Carbenicilina (Car)	10	6
RA1B	Carbenicilina (Car)	10	7
RA1B	Carbenicilina (Car)	5	6
RA1B	Carbenicilina (Car)	5	7
RA1B	Carbenicilina (Car)	5	7
RA1B	Carbenicilina (Car)	2.5	5
RA1B	Carbenicilina (Car)	2.5	5
RA1B	Carbenicilina (Car)	2.5	4
RA1B	Carbenicilina (Car)	1.25	2.5
RA1B	Carbenicilina (Car)	1.25	2
RA1B	Carbenicilina (Car)	1.25	2.5
RA1B	Cloramfenicol (Cm)	10	22
RA1B	Cloramfenicol (Cm)	10	24
RA1B	Cloramfenicol (Cm)	10	23
RA1B	Cloramfenicol (Cm)	5	14
RA1B	Cloramfenicol (Cm)	5	16
RA1B	Cloramfenicol (Cm)	5	17
RA1B	Cloramfenicol (Cm)	2.5	8.5
RA1B	Cloramfenicol (Cm)	2.5	13
RA1B	Cloramfenicol (Cm)	2.5	11.5
RA1B	Cloramfenicol (Cm)	1.25	6
RA1B	Cloramfenicol (Cm)	1.25	11
RA1B	Cloramfenicol (Cm)	1.25	5.5
INP22B	Ampicilina (Amp)	10	22
INP22B	Ampicilina (Amp)	10	26
INP22B	Ampicilina (Amp)	10	25
INP22B	Ampicilina (Amp)	5	21
INP22B	Ampicilina (Amp)	5	25
INP22B	Ampicilina (Amp)	5	21.5
INP22B	Ampicilina (Amp)	2.5	20
INP22B	Ampicilina (Amp)	2.5	22
INP22B	Ampicilina (Amp)	2.5	20
INP22B	Ampicilina (Amp)	1.25	17
INP22B	Ampicilina (Amp)	1.25	13
INP22B	Ampicilina (Amp)	1.25	17
INP22B	Apramicina (Apra)	10	19.5
INP22B	Apramicina (Apra)	10	18
INP22B	Apramicina (Apra)	10	18
INP22B	Apramicina (Apra)	5	15.5
INP22B	Apramicina (Apra)	5	14.5
INP22B	Apramicina (Apra)	5	15
INP22B	Apramicina (Apra)	2.5	14
INP22B	Apramicina (Apra)	2.5	11.5
INP22B	Apramicina (Apra)	2.5	13
INP22B	Apramicina (Apra)	1.25	9.5
INP22B	Apramicina (Apra)	1.25	8
INP22B	Apramicina (Apra)	1.25	10
INP22B	Neomicina (Nm)	10	10
INP22B	Neomicina (Nm)	10	14
INP22B	Neomicina (Nm)	10	15
INP22B	Neomicina (Nm)	5	8
INP22B	Neomicina (Nm)	5	13
INP22B	Neomicina (Nm)	5	13
INP22B	Neomicina (Nm)	2.5	NA
INP22B	Neomicina (Nm)	2.5	12
INP22B	Neomicina (Nm)	2.5	11
INP22B	Neomicina (Nm)	1.25	9.5
INP22B	Neomicina (Nm)	1.25	11
INP22B	Neomicina (Nm)	1.25	9.5
INP22B	Gentamicina (Gm)	10	16.5
INP22B	Gentamicina (Gm)	10	17
INP22B	Gentamicina (Gm)	10	15.5
INP22B	Gentamicina (Gm)	5	14.5
INP22B	Gentamicina (Gm)	5	16
INP22B	Gentamicina (Gm)	5	13
INP22B	Gentamicina (Gm)	2.5	11.5
INP22B	Gentamicina (Gm)	2.5	14
INP22B	Gentamicina (Gm)	2.5	11.5
INP22B	Gentamicina (Gm)	1.25	11
INP22B	Gentamicina (Gm)	1.25	12
INP22B	Gentamicina (Gm)	1.25	9.5
INP22B	Carbenicilina (Car)	10	18
INP22B	Carbenicilina (Car)	10	22
INP22B	Carbenicilina (Car)	10	18
INP22B	Carbenicilina (Car)	5	16
INP22B	Carbenicilina (Car)	5	17
INP22B	Carbenicilina (Car)	5	17.5
INP22B	Carbenicilina (Car)	2.5	10
INP22B	Carbenicilina (Car)	2.5	11.5
INP22B	Carbenicilina (Car)	2.5	13
INP22B	Carbenicilina (Car)	1.25	7
INP22B	Carbenicilina (Car)	1.25	10
INP22B	Carbenicilina (Car)	1.25	7.5
INP22B	Cloramfenicol (Cm)	10	19
INP22B	Cloramfenicol (Cm)	10	18
INP22B	Cloramfenicol (Cm)	10	19
INP22B	Cloramfenicol (Cm)	5	14
INP22B	Cloramfenicol (Cm)	5	15.5
INP22B	Cloramfenicol (Cm)	5	18
INP22B	Cloramfenicol (Cm)	2.5	12
INP22B	Cloramfenicol (Cm)	2.5	14
INP22B	Cloramfenicol (Cm)	2.5	16
INP22B	Cloramfenicol (Cm)	1.25	8
INP22B	Cloramfenicol (Cm)	1.25	8
INP22B	Cloramfenicol (Cm)	1.25	4
AeR106-3	Ampicilina (Amp)	10	NA
AeR106-3	Ampicilina (Amp)	10	NA
AeR106-3	Ampicilina (Amp)	10	NA
AeR106-3	Ampicilina (Amp)	5	NA
AeR106-3	Ampicilina (Amp)	5	NA
AeR106-3	Ampicilina (Amp)	5	NA
AeR106-3	Ampicilina (Amp)	2.5	NA
AeR106-3	Ampicilina (Amp)	2.5	NA
AeR106-3	Ampicilina (Amp)	2.5	NA
AeR106-3	Ampicilina (Amp)	1.25	NA
AeR106-3	Ampicilina (Amp)	1.25	NA
AeR106-3	Ampicilina (Amp)	1.25	NA
AeR106-3	Apramicina (Apra)	10	NA
AeR106-3	Apramicina (Apra)	10	NA
AeR106-3	Apramicina (Apra)	10	NA
AeR106-3	Apramicina (Apra)	5	NA
AeR106-3	Apramicina (Apra)	5	NA
AeR106-3	Apramicina (Apra)	5	NA
AeR106-3	Apramicina (Apra)	2.5	NA
AeR106-3	Apramicina (Apra)	2.5	NA
AeR106-3	Apramicina (Apra)	2.5	NA
AeR106-3	Apramicina (Apra)	1.25	NA
AeR106-3	Apramicina (Apra)	1.25	NA
AeR106-3	Apramicina (Apra)	1.25	NA
AeR106-3	Neomicina (Nm)	10	16
AeR106-3	Neomicina (Nm)	10	16
AeR106-3	Neomicina (Nm)	10	15
AeR106-3	Neomicina (Nm)	5	13
